Adam	n. 亚当
designer	adj. 设计师专门设计的|n. 设计者；设计师|n. 谋划者；耍心眼的人|n. 设计工具或软件
desirable	adj. 值得想要的；令人满意的|n. 想要的东西
desire	n. 渴望；欲望|v. 渴望；强烈想要|n. 愿望；想要的人或事物|n. 动力；动机|v. 请求；恳求|v. 提出愿望；请求|n. 强烈吸引|v. 渴望某人|v. 要求；需要|v. 思念；惋惜
desk	n. 书桌；办公桌|n. 专门部门；工作台|n. 调音台|v. 初审退稿|n. 教堂读经台；讲坛|n. 弦乐演奏席|v. 收藏；锁在桌内|v. 配备书桌
desolate	adj. 荒无人烟的|adj. 孤苦绝望的|v. 摧毁并使荒废|adj. 荒芜无生气的|adj. 被毁坏而荒废的|adj. 凄凉阴沉的|v. 使人悲苦绝望|v. 使无人居住|v. 遗弃
despair	n. 绝望|v. 陷入绝望|n. 令人绝望的事物|n. 令人绝望而放弃的对象|v. 放弃对某事的希望|v. 使人绝望
despatch	v. 派遣|n. 派遣
desperate	adj. 急需；非常渴望|adj. 绝望的；陷入绝境的|adj. 极其严重的；几乎无望的|adj. 孤注一掷的；冒险的|n. 绝境中的人|adj. 糟糕透顶的；令人震惊的|adj. 极其强烈的|adv. 拼命地；极其
desperately	adv. 拼命地；不顾危险地|adv. 极其；非常
desperation	n. 绝望中的行动|n. 绝望状态|n. 绝望引起的鲁莽或狂怒|n. 急于排尿
despise	v. 鄙视；看不起|v. 不屑理会；置之不顾
despite	prep. 尽管；不顾|n. 轻蔑；鄙视|n. 侮辱性行为；冒犯|n. 恶意；怨恨|v. 以轻蔑冒犯；使烦恼
dessert	n. 餐后甜点这一道|n. 具体的甜食
destination	n. 目的地；终点|n. 最终目标；用途；归宿|n. 指定；安排
destiny	n. 注定的状态|n. 不可避免的命运|n. 最终归宿|n. 决定未来的力量
destroy	v. 彻底摧毁|v. 破坏某种特性|v. 处死或安乐死|v. 使人崩溃；毁掉生活|v. 彻底击败|v. 删除数据或对象|v. 把身体练到筋疲力尽|v. 大吃特吃|v. 粗俗地指激烈的性行为|v. 把歌唱得很糟
destruction	n. 摧毁；破坏行为|n. 毁坏；破坏造成的结果|n. 一群野猫
destructive	adj. 造成破坏的|adj. 使整体分解的|adj. 会造成不可逆改变的
detach	v. 把……取下；使……脱离|v. 把……调离整体；分派出去|v. 脱落；自行分开
detail	n. 一个容易忽略的小细节|n. 细节整体；注重细节|v. 详细说明|n. 丰富的细节|n. 可忽略的小事或具体环节|n. 个人资料|n. 具体事项或事实|n. 临时任务小组或派遣任务|n. 细述；详尽叙述|n. 画作中的局部|v. 给车辆做深度清洁|v. 派人执行特定任务
detailed	adj. 细节丰富；周详的
detain	v. 使耽搁；拖住|v. 拘留；扣押|v. 扣留；暂不交付|v. 依法扣留货物
detect	v. 查出；检测到|adj. 已被发现的|v. 当侦探查案
detective	n. 侦探；警察侦查员|adj. 侦查的；侦探的|n. 调查隐秘信息的人；私人侦探
detector	n. 探测器；检测装置
deter	v. 阻止某事发生|v. 劝阻某人做某事|v. 使人对某事望而却步
deteriorate	v. 恶化；变得更糟|v. 使……恶化
deterioration	n. 恶化；变坏
determinant	adj. 起决定作用的|n. 决定因素|n. 行列式|n. 细胞命运决定物|n. 特定位点切割决定物
determination	n. 决心；坚定不移|n. 确定的决定；意图或结论|n. 确定；判定的过程|n. 确定；已被确定的状态|n. 正式裁定；判决|n. 朝某方向的推动或趋向|n. 朝某处的流动或集中|n. 终止；期限的结束
determine	v. 查明；确定事实|v. 下定决心；决定做|v. 限定；划定界限|v. 决定；塑造|v. 促使；使朝某方向发展|v. 裁定；作出决定|v. 给概念下定义；限定范围|v. 结束；终止
determinedly	adv. 坚定地; 坚决地; 决然地; 断然地
determinism	n. 决定论|n. 行为确定性
detrimental	adj. 有害的；不利的|n. 有害的人或事物
devaluation	n. 货币贬值|n. 价值降低|n. 价值折损；贬值
devalue	vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
devastate	vt. 毁坏
develop	v. 逐渐发展；演变|v. 逐阶段发展成|v. 促进发展；培育|v. 制定；创立|v. 冲洗胶片|v. 逐渐养成；获得|v. 揭开；查明|v. 展开棋子；出子|v. 打出更开放的球路|v. 展开数学式
develope	v. 揭露；发展（等于develop）
developer	n. 开发者；开发公司|n. 软件开发人员；软件开发公司|n. 房地产开发商|n. 照片显影人员|n. 显影液|n. 染色显色剂
development	n. 发展；展开过程|n. 进展；新情况|n. 生物的发育|n. 房地产开发项目|n. 房地产建设；开发|n. 产品开发；应用新想法|n. 照片冲洗|n. 棋子展开|n. 音乐主题的展开|n. 奏鸣曲式的展开部|n. 函数展开
developmental	adj. 与发展有关的|n. 受训的飞行管制员
deviate	v. 偏离路线或计划|v. 偏离规范或常态|v. 使偏离|adj. 偏离规范的|n. 偏离规范的人|n. 偏差值
device	n. 设备；装置|n. 硬件设备；外设|n. 谋略；计策|n. 修辞手法|n. 商标图案|n. 官方标记；专用标志|n. 自制炸弹|n. 个人徽记；格言徽号|n. 创造力；设计能力|n. 纵横填字游戏的解题手法|n. spectacle；表演场面|n. 意见；决定
devil	n. 邪恶的魔鬼|n. 淘气鬼；调皮孩子|n. 传统形象中的魔鬼|n. 心中的邪念|n. 难题；难办的事|n. 地狱的委婉说法|n. 某人；可怜鬼或幸运儿|n. 尘卷风|n. 辣味烤制食品|v. 烦扰；折磨|v. 无名无酬地做助手工作|v. 代人写作
devise	v. 设计出；想出|v. 在遗嘱中把不动产留给某人|n. 遗嘱处分不动产|n. 遗嘱或遗嘱条款|n. 遗嘱留下的房产|n. 设计；筹划|v. 筹划；谋划|v. 谋划以求得到|v. 想象；猜测
devote	v. 投入；献身于|adj. 虔诚的；沉溺的|v. 交给毁灭|v. 诅咒；咒骂
devotion	n. 投入与奉献|n. 深厚的感情与忠诚|n. 宗教虔诚|n. 祈祷活动|n. 宗教供献
dew	n. 凝结的露水|n. 清晨或傍晚植物上的露水|n. 一场或一层露水|v. 使沾上露水；使变湿|n. 轻柔而清新的降落物|n. 清晨与青春活力的象征|n. 远程早期预警|n. 定向能武器|v. 结露
di	intj. 哼唱填词音节|n. 警察督察职级|n. 直接输入|n. 直接输入盒|n. 牙齿内陷|n. 尿崩症|n. 处置指数|n. 漫射照明|n. 依赖注入|n. 直接喷射|n. 球墨铸铁|n. 下落中的变向能力
dia	n. 舒张压缩写
diabetes	n. 糖尿病|n. 甜得夸张的食物|n. 尿崩症
diagnose	v. 诊断疾病|v. 查明问题原因
diagnosis	n. 医学诊断|n. 对问题或故障的判断|n. 物种鉴别描述|v. 非标准地诊断
diagnostic	adj. 诊断性的|n. 医疗诊断手段|adj. 某疾病的特征性标志|adj. 能指示特定对象的|adj. 用于摸底评估的|n. 排查问题的工具或技术|adj. 可用于分类鉴定的特征性|n. 用于识别的线索或症状
diagonal	adj. 对角的；连接不相邻顶点的|n. 对角线|adj. 斜的；带斜线的|adj. 斜向的|n. 斜线；类似对角线的东西|adj. 对角肢的|n. 斜线符号
diagram	n. 示意图；结构图|v. 用图表示|n. 图表|n. 范畴论中的函子图|n. 填字游戏方格图|v. 按运行图安排列车
dial	n. 仪表表盘|v. 转动调节|v. 拨号呼叫|n. 调节旋钮或刻度盘|n. 电话拨号盘|v. 使用拨盘或电话|n. 日晷|n. 脸（俚语）|n. 矿工罗盘
dialect	n. 某地区、社群或社会群体的语言变体|n. 语言家族中的一种方言或语言变体|n. 被认为不标准或不正确的说法|n. 编程语言的一个变体|n. 只有口头使用或未标准化的语言|n. 某地区或种群特有的鸟鸣变体
dialog	n. 对话；交谈|n. 对话框
dialogue	n. 对话；交流|n. 台词；对白|n. 对话体作品|v. 通过对话协商|n. dialog 的非标准拼写|v. 写成对话体|v. 参与对话（过时）
diameter	n. 穿过圆心的直线|n. 直径的长度|n. 度量空间中的最大两点距离|n. 图中顶点间的最大距离
diamond	adj. 钻石制的；含钻石的|n. 钻石这种材料|n. 钻石宝石|adj. 六十周年的|adj. 极好的；很棒的|n. 钻石戒指|n. 很浅的蓝色|n. 钻石形或类似物|n. 菱形|n. 比赛场地|n. 棒球内场|n. 一张方块牌
diane	n. 黛安（等于Diana, 女子名）
diary	n. 日记；日记本|n. 日程本；约会记录本|adj. 持续一天的|v. 写日记
dicken	[男子名] [英格兰人姓氏] 迪肯 Dick的昵称
dickens	n. 表示强调|n. 魔鬼|n. 骚乱；闹事
dictate	n. 命令；要求|v. 命令；控制|v. 口述，让人记录|v. 决定；支配
dictation	n. 听写, 口述, 命令
dictionary	n. 词典；字典|v. 查词典|n. 专题词典；资料汇编|n. 信息宝库；活资料库|n. 某人的词汇；用词总汇|n. 键值映射|n. 规范语言词典|v. 收入词典|v. 编纂词典
dida	abbr. differential in-deptb analysis 差值分析
die	adv. 每天；按日|n. 切削模具；冲切工具|n. 骰子|v. 死亡|n. 螺纹板牙|n. 成形模具|v. 去世|v. 以某种身份或方式死去|v. 游戏中角色死亡|v. 非常渴望|v. 精神上逐渐崩溃|v. 尴尬或震惊得受不了
diesel	n. 柴油|n. 柴油车|v. 压缩点燃|n. 柴油发动机|n. 匀速骑行者|n. 一种酒饮俚语|n. 一种大麻杂交品种|v. 发动机断电后继续运转
diet	adj. 低脂、低糖或低热量的|n. 日常饮食|n. 控制饮食的计划|v. 控制饮食|adj. 删减版的|n. 长期摄入或接触的内容|n. 正式议会|n. 考试期|n. 刑事诉讼程序|n. 宗教活动|n. 种间直接电子传递|v. 给某人安排饮食
dietary	adj. 与饮食有关的|adj. 可作为食物来源的|n. 规定的饮食
differ	v. 彼此不同|v. 意见不同|n. 差异比较程序或结果
difference	n. 不同这一事实|n. 具体差异|n. 影响；作用|n. 分歧；不和|n. 差值；差额|n. 选择；偏好|n. 纹章上的区别标记|n. 种差|n. 异或运算|n. 集合差|v. 区分；使不同
different	adj. 不一样的|adj. 特别的；不寻常的|adj. 各种各样的|adj. 分别的；各不相同的|adv. 以不同方式|n. 数学术语
differentiate	v. 使产生差别|v. 显示两者的差别|v. 辨认出差别|v. 辨别差异|v. 因材施教|n. 分化出来的对象|v. 求导|v. 求全微分|v. 发生分化
differentiation	n. 区分；产生差异|n. 求导；微分|n. 细胞或器官分化|n. 物种分化|n. 岩浆分异
differently	adv. 以不同方式；结果不同
difficult	adj. 困难的；不容易的|adj. 难应付的；不配合的|adj. 不愿的；难以接受的|v. 使困难；妨碍
difficulty	n. 做某事有困难|n. 妨碍目标的具体障碍|n. 危险或险境|n. 难以理解或相信之处|n. 麻烦或尴尬的纠纷|n. 反对意见
diffuse	adj. 分散的；不集中的|v. 使扩散；使散布|adj. 冗长的；啰嗦的|v. 扩散；散开
diffusion	n. 扩散；分散|n. 分子扩散|n. 光的散射|n. 文化或语言的传播|n. 商品或服务的普及|n. 空气的小尺度扩散交换|n. 水汽扩散
diffusionism	弥漫说
diffusionist	n. 传流论者,(文化)传播论者
dig	n. 考古挖掘；挖掘现场|n. 戳；捅|n. 挖苦；讽刺话|v. 挖；掘出一个洞|v. 深入调查；找出|v. 戳；用肘推|n. 排球防守垫球|n. 板球的一局|v. 挖出；从地下取出|v. 开采矿石|v. 排球防守垫球|n. 重击
digest	n. 整理后的摘要或汇编|v. 消化食物|v. 在头脑中消化、理解|n. 法律汇编或法律摘要|n. 文章选编或内容汇刊|v. 整理、分类成可用形式|v. 忍受并接受|v. 自行消化|n. 哈希摘要值|v. 用温和加热处理化学物质|v. 溃疡化脓|v. 使伤口化脓
digestive	adj. 与消化有关的|adj. 促进消化的|n. 助消化的东西|n. 消化饼干
digg	abbr. 户推荐
digit	n. 数位|n. 数字符号|n. 手指或脚趾|n. 日月视直径的十二分之一|n. 历史长度单位|n. 英寸（废旧用法）|n. 动物的指（趾）状末端|n. 角度单位（废旧用法）|v. 用手指指向
digital	adj. 用离散数字表示的|adj. 与计算机和信息时代有关的|n. 数字设备或数字技术|adj. 手指的；用手指进行的|n. 数字期权|n. 数字手表|n. 数字艺术|n. 钢琴等键盘乐器的琴键|n. 手指
digitize	vt. 使成为数字, 使计数化, 使数字化
dignity	n. 尊严；人格价值|n. 庄重；体面|n. 高位；尊贵身份|n. 身居高位者|n. 基本原则；公理
dilemma	n. 两难困境|n. 棘手的问题|n. 两难推理|n. 提出两种不利选择
diligence	n. 勤勉；持续努力|n. 勤奋认真的品质|n. 应有的谨慎；尽责|n. 旧式公共马车|n. 苏格兰法律中的执行程序
diligent	adj. 勤奋专注的
dillard	迪拉德（人名）
dilute	adj. 稀的；低浓度的|adj. 减弱的；被冲淡的|v. 稀释；加水冲淡|v. 削弱；冲淡|v. 稀释股份价值或持股比例|v. 变淡；变弱|adj. 毛色较浅的|n. 浅色毛动物
dim	adj. 昏暗的|v. 使变暗|adj. 不机灵的|adj. 模糊的|adj. 不赞成的|adj. 减的（音乐术语缩略）|v. 变暗|v. 削弱|n. 昏暗|v. 使变得模糊或黯淡|v. 使看不清
dimension	n. 方面；维度|n. 空间尺寸；维度|n. 区分事物的维度|n. 世界；存在层面|n. 坐标维数|n. 向量空间的维数|n. 物理量的量纲|n. 数组的下标维度|v. 按尺寸加工|v. 指定数组大小
dimensional	adj. 维度的；尺寸方面的|adj. 有立体感的；三维的
diminish	v. 使变小、变少或变弱|v. 逐渐减少或减弱|v. 贬低其重要性|v. 削弱权威或尊严|v. 渐渐消失|v. 逐渐变细或变窄|v. 减去；删去
dimmer	n. 调光器
dine	v. 用餐；吃正餐|v. 招待吃饭；供给正餐|n. 吃饭时间|v. 以……为食
diner	n. 用餐者|n. 美式小餐馆|n. 铁路餐车|n. 请客吃饭的人|n. 安道尔纪念货币
dinner	n. 一天中的主餐|n. 晚餐|n. 午间主餐|n. 给动物吃的一餐|n. 正式宴席|n. 饭菜、食物|v. 吃正餐|v. 请人吃正餐
dinner-table	n. 餐桌（古旧写法）
dinosaur	n. 恐龙|n. 非鸟类恐龙|n. 守旧的人或事物|n. 过时的事物或做法|n. 泛指史前爬行动物
dioxide	n. 二氧化物
dip	n. 低洼处|n. 蘸酱|v. 浸入液体|v. 小幅下降|n. 向下倾斜|n. 短暂浸入|n. 短暂游泳|n. 双杠臂屈伸|n. 唇烟|n. 下跌资产|n. 笨蛋|v. 下沉或浸入
diploma	n. 文凭；毕业证书
diplomacy	n. 外交；国际谈判|n. 圆融处事；避免冲突的技巧
diplomat	n. 外交官|n. 圆融处事的人
diplomatic	adj. 外交的；国家间关系的|adj. 圆融得体的；善于避免冲突的|adj. 按底本编校并注明异文的|adj. 古文献学的|n. 古文献学；文书学
dire	adj. 预示坏事的；不祥的|adj. 迫切的；刻不容缓的|adj. 灾难性的；极其严重的|adj. 糟透的；非常差的|adj. 凶猛吓人的
direct	adj. 不绕道地进行|adj. 直达的；最短的|adj. 坦率的|v. 管理；操控|v. 指引；指向|adj. 明确的；直截了当的|adj. 直系的|adj. 直接选举或决定的|adj. 直飞的；航班号相同的|v. 把……指向|v. 命令；要求|adj. 顺行的
direction	n. 方向；朝向|n. 发展方向；趋势|n. 指导；指示|n. 导演工作；导演能力|n. 管理机构；董事会|n. 地址
directive	adj. 指导性的；指示性的|n. 指示；指南|n. 程序处理指示|n. 官方决定；正式指令|adj. 指示格的|n. 欧盟指令|n. 指示格
directly	adv. 直接地；沿直线地|adv. 直接地；不通过中间环节|adv. 直截了当地；明确地|adv. 正好；就在……对面|adv. 坦率地；直说|adv. 立即|adv. 过一会儿；随后
director	n. 负责人；导演|n. 董事|n. 导向装置|n. 精神导师|n. 武器目标指示器|n. 液晶分子对称轴|n. 八木天线引向器
directory	n. 名单目录|n. 文件夹|n. 文件清单|adj. 指导性的|n. 集体执政委员会
dirt	n. 泥土|n. 污渍|n. 丑闻；黑料|n. 卑劣；肮脏行为|n. 待淘洗的矿土|n. 雀斑|n. 粪便|n. 存款利息留存税|v. 弄脏
dirt-cheap	adj. 毫无价值的，贱如粪土的|adv. 非常便宜地
dirty	adj. 脏的；沾有污物的|adj. 下流的；淫秽的|adj. 不光彩的；卑鄙的|adv. 不公平地；卑鄙地|v. 弄脏|adj. 令人不洁的；会污染的|adj. 非法的；不正当的|adj. 走音的；带不和谐音的|adj. 不纯的；发暗的|adj. 已修改而待写回的|adj. 非常大的；很厉害的|adj. 放纵而不健康的
disability	n. 一种具体的残障或能力障碍|n. 残障状态|n. 由障碍和社会环境共同造成的功能限制|n. 法律上的资格欠缺|n. 残障津贴|n. 无力做到某事
disable	v. 停用功能|v. 使失去能力|v. 使人因伤致残|adj. 缺乏能力的
disadvantage	n. 缺点；不便之处|n. 劣势；不利条件|v. 使处于不利地位|n. 损失；不利影响
disadvantageous	a. 不利的, 蔑视的, 贬抑的
disagree	v. 不同意；持不同看法|v. 不一致；不相符
disagreeable	a. 令人不快的, 厌恶的, 不合意的
disagreement	n. 一次争论或分歧|n. 意见不一致的状态
